perturbed_top_10,perturbed_rank,keep_len,keep_index,masked_len,masked_index,top1_change,Top5_Jaccard,Top5_Rbo,Top5_ShiftRank,Top10_Jaccard,Top10_Rbo,Top10_ShiftRank,Top20_Jaccard,Top20_Rbo,Top20_ShiftRank
"[(180, 0.66433877), (221, 0.47032675), (116, 0.423379), (95, 0.3994604), (78, 0.2806685), (356, 0.24781775), (747, 0.22180316), (88, 0.21473798), (596, 0.18136501), (10, 0.17831935), (472, 0.105858214), (409, 0.09022767), (37, 0.08951358), (497, 0.08024485), (147, 0.07777303), (519, 0.0738958), (280, 0.07331092), (446, 0.06899387), (1015, 0.0638753), (595, 0.05676198)]","[180, 221, 116, 95, 78, 356, 747, 88, 596, 10, 472, 409, 37, 497, 147, 519, 280, 446, 1015, 595]",4,"[293, 526, 401, 339]",17,"[384, 5, 6, 520, 200, 275, 285, 478, 482, 614, 297, 49, 689, 690, 241, 370, 506]",0,1.0,0.9,0,1.0,0.9121031746031745,0,1.0,0.9260870431168418,0
"[(180, 0.8296699), (95, 0.65496546), (116, 0.65074474), (221, 0.64372337), (78, 0.5583063), (747, 0.4925697), (88, 0.44978037), (356, 0.42513993), (596, 0.4028204), (10, 0.3963437), (472, 0.30395353), (409, 0.23255591), (37, 0.21240996), (280, 0.20599176), (446, 0.20466729), (147, 0.20212395), (595, 0.19814496), (497, 0.19592369), (519, 0.1905063), (1015, 0.18334854)]","[180, 95, 116, 221, 78, 747, 88, 356, 596, 10, 472, 409, 37, 280, 446, 147, 595, 497, 519, 1015]",13,"[614, 293, 482, 339, 275, 370, 6, 520, 49, 5, 384, 297, 526]",8,"[200, 401, 285, 478, 689, 690, 241, 506]",0,1.0,0.8333333333333333,0,1.0,0.8621031746031745,0,1.0,0.9007774455936219,0
"[(180, 0.81568515), (221, 0.68296355), (95, 0.6280864), (116, 0.6192694), (78, 0.52212226), (356, 0.5088815), (88, 0.4474158), (747, 0.4440054), (10, 0.41232383), (596, 0.3910027), (472, 0.3028758), (409, 0.24054946), (37, 0.23436092), (147, 0.22853552), (446, 0.22753486), (497, 0.22289859), (519, 0.21781147), (280, 0.21214537), (1015, 0.18594575), (595, 0.18593107)]","[180, 221, 95, 116, 78, 356, 88, 747, 10, 596, 472, 409, 37, 147, 446, 497, 519, 280, 1015, 595]",16,"[506, 5, 241, 297, 6, 690, 482, 285, 478, 520, 293, 339, 370, 200, 401, 49]",5,"[384, 526, 275, 614, 689]",0,1.0,0.8333333333333333,0,1.0,0.8930555555555555,0,1.0,0.9264091719683825,0
"[(180, 0.8284585), (221, 0.7460492), (116, 0.6637434), (95, 0.66361225), (78, 0.5661571), (747, 0.5314141), (356, 0.52418286), (10, 0.41811648), (88, 0.403623), (596, 0.38004228), (472, 0.32549116), (37, 0.25077942), (147, 0.24065557), (497, 0.23959549), (409, 0.23517543), (595, 0.22604896), (280, 0.22112943), (446, 0.20413564), (519, 0.20093937), (1015, 0.19646753)]","[180, 221, 116, 95, 78, 747, 356, 10, 88, 596, 472, 37, 147, 497, 409, 595, 280, 446, 519, 1015]",16,"[275, 285, 200, 506, 6, 370, 339, 614, 241, 293, 478, 482, 49, 297, 689, 401]",5,"[384, 5, 520, 526, 690]",0,1.0,0.9,0,1.0,0.8954365079365079,0,1.0,0.9178905408317173,0
"[(180, 0.8060745), (221, 0.655872), (95, 0.64223593), (116, 0.63609767), (78, 0.57172287), (356, 0.5227396), (88, 0.4864617), (747, 0.4701022), (596, 0.4315766), (10, 0.4018467), (472, 0.3004328), (409, 0.26718247), (37, 0.25853226), (147, 0.25650322), (519, 0.24097888), (280, 0.2349908), (595, 0.23482943), (497, 0.23405999), (446, 0.22662349), (1015, 0.20089126)]","[180, 221, 95, 116, 78, 356, 88, 747, 596, 10, 472, 409, 37, 147, 519, 280, 595, 497, 446, 1015]",16,"[241, 520, 339, 401, 689, 293, 5, 275, 614, 200, 506, 690, 285, 384, 370, 526]",5,"[6, 478, 482, 297, 49]",0,1.0,0.8333333333333333,0,1.0,0.8930555555555555,0,1.0,0.9198250646412409,0
"[(180, 0.5722732), (221, 0.42902452), (116, 0.31648195), (78, 0.25822806), (95, 0.24485584), (356, 0.21033655), (747, 0.19230036), (88, 0.16282055), (10, 0.15531893), (596, 0.14310592), (472, 0.09351292), (37, 0.07309771), (409, 0.068365976), (280, 0.06342242), (446, 0.059503227), (519, 0.059455313), (147, 0.058935855), (595, 0.05723652), (497, 0.057057504), (1015, 0.052289475)]","[180, 221, 116, 78, 95, 356, 747, 88, 10, 596, 472, 37, 409, 280, 446, 519, 147, 595, 497, 1015]",2,"[49, 690]",19,"[384, 5, 6, 520, 200, 526, 401, 275, 339, 285, 478, 482, 293, 614, 297, 689, 241, 370, 506]",0,1.0,0.85,0,1.0,0.8871031746031746,0,1.0,0.9162186220642102,0
"[(180, 0.63459706), (221, 0.40694675), (95, 0.34013566), (116, 0.28363076), (78, 0.2746253), (356, 0.19855638), (747, 0.18190108), (88, 0.1716499), (596, 0.14549772), (10, 0.12881239), (472, 0.10118158), (409, 0.07898111), (147, 0.072671354), (497, 0.0700724), (37, 0.06788274), (446, 0.0677811), (519, 0.06742808), (280, 0.062821805), (595, 0.060460027), (1015, 0.055909324)]","[180, 221, 95, 116, 78, 356, 747, 88, 596, 10, 472, 409, 147, 497, 37, 446, 519, 280, 595, 1015]",1,[5],20,"[384, 6, 520, 200, 526, 401, 275, 339, 285, 478, 482, 293, 614, 297, 49, 689, 690, 241, 370, 506]",0,1.0,0.8333333333333333,0,1.0,0.8787698412698411,0,1.0,0.911146978021978,0
"[(180, 0.8678177), (221, 0.7701565), (116, 0.72042555), (95, 0.68177384), (78, 0.6572001), (356, 0.5847972), (747, 0.5755998), (88, 0.5535686), (10, 0.51826614), (596, 0.5121827), (472, 0.41321155), (37, 0.34341124), (409, 0.32872644), (497, 0.31675807), (280, 0.3098964), (446, 0.2892545), (595, 0.2881798), (147, 0.2704534), (1015, 0.26196724), (519, 0.22573587)]","[180, 221, 116, 95, 78, 356, 747, 88, 10, 596, 472, 37, 409, 497, 280, 446, 595, 147, 1015, 519]",19,"[6, 293, 401, 275, 478, 614, 241, 384, 482, 526, 689, 5, 297, 506, 370, 690, 49, 200, 285]",2,"[520, 339]",0,1.0,0.9,0,1.0,0.9121031746031745,0,1.0,0.9166875333129202,0
"[(180, 0.8454355), (221, 0.7416329), (95, 0.6737558), (78, 0.62442636), (116, 0.6132567), (356, 0.5772246), (747, 0.5611564), (596, 0.5026871), (88, 0.45802265), (10, 0.44000182), (472, 0.36544853), (147, 0.3231803), (497, 0.30025655), (409, 0.29551342), (280, 0.29305848), (519, 0.2928303), (37, 0.28008574), (446, 0.27641037), (595, 0.2722681), (1015, 0.24802352)]","[180, 221, 95, 78, 116, 356, 747, 596, 88, 10, 472, 147, 497, 409, 280, 519, 37, 446, 595, 1015]",19,"[690, 6, 49, 293, 200, 520, 297, 5, 614, 275, 482, 478, 506, 241, 526, 384, 689, 339, 370]",2,"[401, 285]",0,1.0,0.7833333333333333,0,1.0,0.8412698412698412,0,1.0,0.8829974682180565,0
"[(180, 0.86474663), (221, 0.7533282), (116, 0.7178886), (95, 0.69816625), (78, 0.6215583), (747, 0.5921521), (356, 0.592086), (88, 0.55766404), (10, 0.49414212), (596, 0.4736245), (472, 0.40114093), (409, 0.31187624), (446, 0.29128212), (595, 0.29081097), (519, 0.28670463), (147, 0.28570363), (280, 0.28401154), (37, 0.2746507), (497, 0.26556355), (1015, 0.25530183)]","[180, 221, 116, 95, 78, 747, 356, 88, 10, 596, 472, 409, 446, 595, 519, 147, 280, 37, 497, 1015]",20,"[690, 526, 478, 370, 241, 293, 297, 6, 401, 614, 275, 49, 339, 384, 482, 520, 200, 285, 689, 5]",1,[506],0,1.0,0.9,0,1.0,0.8954365079365079,0,1.0,0.9141107789269552,0
