perturbed_top_10,perturbed_rank,keep_len,keep_index,masked_len,masked_index
"[(229, 0.28463298), (1109, 0.1593433), (203, 0.08909798), (310, 0.035443425), (321, 0.03395271), (353, 0.025472758), (537, 0.023051033), (449, 0.018336032), (581, 0.017532729), (474, 0.0153229), (236, 0.012297212), (428, 0.012220144), (473, 0.011842831), (472, 0.009270851), (197, 0.008291701), (743, 0.0081289215), (277, 0.007946128), (707, 0.00781607), (548, 0.00694247), (82, 0.0067624385)]","[229, 1109, 203, 310, 321, 353, 537, 449, 581, 474, 236, 428, 473, 472, 197, 743, 277, 707, 548, 82]",7,"[180, 242, 232, 54, 240, 340, 567]",51,"[384, 257, 258, 259, 687, 517, 6, 510, 688, 10, 650, 143, 272, 402, 21, 293, 549, 171, 300, 173, 430, 175, 176, 49, 434, 683, 181, 55, 182, 565, 186, 187, 189, 194, 456, 78, 335, 81, 209, 337, 88, 221, 95, 226, 227, 228, 357, 685, 686, 509, 126]"
"[(229, 0.666204), (1109, 0.36373544), (236, 0.24458489), (203, 0.15888378), (353, 0.13635838), (321, 0.13257766), (310, 0.106528684), (537, 0.10598013), (449, 0.062418196), (581, 0.04782743), (197, 0.038994446), (474, 0.03573877), (428, 0.029725246), (472, 0.028167212), (277, 0.025835441), (473, 0.022911463), (155, 0.017151412), (743, 0.015355729), (326, 0.014657668), (660, 0.014544365)]","[229, 1109, 236, 203, 353, 321, 310, 537, 449, 581, 197, 474, 428, 472, 277, 473, 155, 743, 326, 660]",36,"[510, 384, 687, 187, 173, 240, 171, 181, 456, 95, 567, 221, 517, 126, 226, 434, 565, 683, 258, 180, 650, 685, 259, 6, 293, 21, 176, 232, 175, 209, 549, 272, 143, 10, 54, 182]",22,"[257, 688, 402, 300, 430, 49, 55, 186, 189, 194, 78, 335, 81, 337, 340, 88, 227, 228, 357, 242, 686, 509]"
"[(229, 0.8317222), (1109, 0.62150246), (203, 0.48853672), (321, 0.47826657), (310, 0.27870956), (449, 0.23232578), (537, 0.19410603), (353, 0.1856014), (581, 0.13766362), (236, 0.12283335), (474, 0.08945348), (707, 0.08631804), (428, 0.078757785), (743, 0.07452865), (684, 0.07352828), (197, 0.06738211), (473, 0.06501623), (277, 0.049632866), (82, 0.047785677), (660, 0.0445815)]","[229, 1109, 203, 321, 310, 449, 537, 353, 581, 236, 474, 707, 428, 743, 684, 197, 473, 277, 82, 660]",47,"[565, 194, 49, 384, 180, 81, 258, 10, 189, 259, 517, 226, 688, 176, 335, 88, 54, 686, 510, 175, 126, 340, 242, 186, 182, 272, 683, 357, 232, 257, 337, 300, 6, 181, 221, 430, 95, 567, 78, 143, 227, 173, 509, 293, 171, 685, 402]",11,"[687, 650, 21, 549, 434, 55, 187, 456, 209, 228, 240]"
"[(229, 0.5264335), (1109, 0.37153593), (203, 0.23798259), (236, 0.2325295), (321, 0.09240732), (449, 0.079216845), (353, 0.07759312), (537, 0.076947965), (310, 0.074497804), (581, 0.05610027), (472, 0.041485067), (474, 0.02461192), (428, 0.022529522), (473, 0.020656023), (155, 0.017125838), (197, 0.015994372), (277, 0.015360479), (82, 0.013078118), (86, 0.01288284), (684, 0.012237823)]","[229, 1109, 203, 236, 321, 449, 353, 537, 310, 581, 472, 474, 428, 473, 155, 197, 277, 82, 86, 684]",19,"[567, 456, 293, 258, 650, 78, 81, 685, 173, 510, 686, 180, 181, 55, 384, 171, 54, 337, 259]",39,"[257, 687, 517, 6, 688, 10, 143, 272, 402, 21, 549, 300, 430, 175, 176, 49, 434, 683, 182, 565, 186, 187, 189, 194, 335, 209, 340, 88, 221, 95, 226, 227, 228, 357, 232, 240, 242, 509, 126]"
"[(229, 0.704893), (1109, 0.3262427), (321, 0.18830301), (203, 0.17852958), (449, 0.11633237), (310, 0.1133212), (236, 0.09036838), (353, 0.07602798), (537, 0.07131739), (197, 0.04680649), (428, 0.04586565), (581, 0.04186953), (684, 0.037414603), (472, 0.032985758), (473, 0.031603377), (277, 0.030586744), (155, 0.028563522), (474, 0.0265162), (743, 0.025314642), (326, 0.022861877)]","[229, 1109, 321, 203, 449, 310, 236, 353, 537, 197, 428, 581, 684, 472, 473, 277, 155, 474, 743, 326]",22,"[143, 189, 173, 688, 402, 293, 209, 240, 227, 335, 228, 194, 434, 6, 126, 683, 650, 272, 340, 687, 258, 565]",36,"[384, 257, 259, 517, 510, 10, 21, 549, 171, 300, 430, 175, 176, 49, 180, 181, 54, 55, 182, 186, 187, 567, 456, 78, 81, 337, 88, 221, 95, 226, 357, 232, 242, 685, 686, 509]"
"[(229, 0.7420097), (1109, 0.5579644), (310, 0.22138508), (321, 0.18159291), (537, 0.16792242), (203, 0.14157747), (353, 0.12326689), (449, 0.09983587), (581, 0.06161022), (197, 0.04881483), (428, 0.037795987), (472, 0.03482949), (326, 0.033288512), (236, 0.032397565), (474, 0.025783), (82, 0.024716027), (684, 0.02417653), (473, 0.023902962), (155, 0.023270303), (743, 0.018831708)]","[229, 1109, 310, 321, 537, 203, 353, 449, 581, 197, 428, 472, 326, 236, 474, 82, 684, 473, 155, 743]",23,"[49, 402, 565, 430, 688, 6, 242, 55, 340, 300, 517, 143, 226, 683, 687, 272, 509, 78, 335, 259, 81, 567, 456]",35,"[384, 257, 258, 510, 10, 650, 21, 293, 549, 171, 173, 175, 176, 434, 180, 181, 54, 182, 186, 187, 189, 194, 209, 337, 88, 221, 95, 227, 228, 357, 232, 240, 685, 686, 126]"
"[(229, 0.25462073), (1109, 0.04735087), (203, 0.027382081), (236, 0.023745771), (474, 0.021755153), (310, 0.020014532), (449, 0.015771588), (321, 0.01532783), (353, 0.013858109), (537, 0.013132031), (473, 0.009872265), (581, 0.00869511), (197, 0.006920797), (707, 0.006661332), (472, 0.0066137295), (82, 0.0060664224), (326, 0.0058910577), (548, 0.0058035334), (277, 0.005776283), (155, 0.0057179583)]","[229, 1109, 203, 236, 474, 310, 449, 321, 353, 537, 473, 581, 197, 707, 472, 82, 326, 548, 277, 155]",7,"[81, 187, 567, 337, 126, 49, 232]",51,"[384, 257, 258, 259, 687, 517, 6, 510, 688, 10, 650, 143, 272, 402, 21, 293, 549, 171, 300, 173, 430, 175, 176, 434, 683, 180, 181, 54, 55, 182, 565, 186, 189, 194, 456, 78, 335, 209, 340, 88, 221, 95, 226, 227, 228, 357, 240, 242, 685, 686, 509]"
"[(229, 0.8724006), (1109, 0.64898014), (310, 0.47092268), (203, 0.45483342), (321, 0.38410527), (353, 0.32182527), (537, 0.29057983), (236, 0.28164014), (449, 0.25517896), (581, 0.23150086), (472, 0.1355192), (474, 0.11026487), (684, 0.106839225), (473, 0.08503154), (428, 0.07812151), (707, 0.068909734), (743, 0.0605446), (987, 0.048887283), (326, 0.045450386), (197, 0.04458917)]","[229, 1109, 310, 203, 321, 353, 537, 236, 449, 581, 472, 474, 684, 473, 428, 707, 743, 987, 326, 197]",57,"[509, 189, 510, 242, 221, 335, 180, 240, 187, 88, 430, 257, 434, 567, 402, 687, 209, 186, 686, 228, 565, 194, 337, 226, 10, 176, 78, 293, 683, 272, 49, 175, 650, 95, 259, 126, 357, 173, 171, 340, 181, 21, 55, 456, 549, 517, 81, 227, 300, 232, 6, 258, 685, 182, 54, 384, 143]",1,[688]
"[(229, 0.46913055), (1109, 0.2100304), (203, 0.11118272), (321, 0.08199955), (353, 0.06949557), (449, 0.043633237), (537, 0.04281293), (310, 0.036623023), (581, 0.02787434), (474, 0.025405567), (472, 0.021014713), (236, 0.020100283), (707, 0.01885387), (155, 0.017155526), (277, 0.016687348), (428, 0.01533505), (473, 0.014328838), (82, 0.01432329), (86, 0.012029465), (548, 0.011405218)]","[229, 1109, 203, 321, 353, 449, 537, 310, 581, 474, 472, 236, 707, 155, 277, 428, 473, 82, 86, 548]",21,"[430, 300, 565, 567, 337, 226, 194, 232, 49, 242, 687, 228, 126, 509, 186, 21, 685, 683, 293, 209, 510]",37,"[384, 257, 258, 259, 517, 6, 688, 10, 650, 143, 272, 402, 549, 171, 173, 175, 176, 434, 180, 181, 54, 55, 182, 187, 189, 456, 78, 335, 81, 340, 88, 221, 95, 227, 357, 240, 686]"
"[(229, 0.67743), (1109, 0.47867724), (203, 0.30685738), (310, 0.18708251), (321, 0.14619663), (537, 0.13314882), (449, 0.09665428), (353, 0.09556168), (581, 0.08488264), (155, 0.04078643), (474, 0.0362661), (428, 0.03366805), (277, 0.031150946), (197, 0.030056816), (473, 0.028214822), (236, 0.026667275), (707, 0.024847686), (82, 0.023110565), (684, 0.018098539), (326, 0.017987326)]","[229, 1109, 203, 310, 321, 537, 449, 353, 581, 155, 474, 428, 277, 197, 473, 236, 707, 82, 684, 326]",35,"[182, 402, 300, 194, 171, 6, 650, 49, 686, 517, 259, 430, 456, 126, 683, 567, 232, 88, 687, 176, 688, 228, 549, 357, 55, 175, 509, 95, 685, 272, 221, 335, 54, 434, 187]",23,"[384, 257, 258, 510, 10, 143, 21, 293, 173, 180, 181, 565, 186, 189, 78, 81, 209, 337, 340, 226, 227, 240, 242]"
