user_id,top_20_with_score,top_20,hit_ratio,ndcg
0,"[(299, 0.723582), (495, 0.6493803), (274, 0.6012066), (392, 0.57593274), (514, 0.5550177), (446, 0.45460376), (483, 0.44045156), (409, 0.43548042), (309, 0.3245287), (501, 0.31526217), (469, 0.30170715), (894, 0.27332935), (825, 0.25654948), (457, 0.2514129), (406, 0.23867133), (897, 0.23500177), (353, 0.19939163), (286, 0.19127998), (711, 0.19013046), (1187, 0.18878242)]","[299, 495, 274, 392, 514, 446, 483, 409, 309, 501, 469, 894, 825, 457, 406, 897, 353, 286, 711, 1187]",0,0.0
1,"[(173, 0.82287675), (221, 0.77561307), (741, 0.70398587), (185, 0.68255824), (10, 0.611983), (186, 0.61054486), (602, 0.5936553), (402, 0.573139), (168, 0.48042232), (318, 0.47236857), (417, 0.4570099), (525, 0.44675264), (32, 0.4204435), (518, 0.41540423), (82, 0.41389766), (197, 0.40144226), (280, 0.38771865), (80, 0.37968662), (704, 0.35957575), (508, 0.35558438)]","[173, 221, 741, 185, 10, 186, 602, 402, 168, 318, 417, 525, 32, 518, 82, 197, 280, 80, 704, 508]",1,0.23981246656813146
2,"[(173, 0.8267), (126, 0.77773243), (171, 0.7284265), (422, 0.69406986), (418, 0.61827135), (317, 0.6099481), (143, 0.60907656), (228, 0.6046748), (581, 0.57054967), (93, 0.4835023), (432, 0.4806985), (450, 0.467714), (57, 0.4383797), (683, 0.4138905), (213, 0.38250324), (18, 0.37012815), (824, 0.3535411), (746, 0.3452927), (490, 0.34453163), (1013, 0.32869935)]","[173, 126, 171, 422, 418, 317, 143, 228, 581, 93, 432, 450, 57, 683, 213, 18, 824, 746, 490, 1013]",1,0.3562071871080222
3,"[(99, 0.85984826), (285, 0.82197094), (95, 0.7781468), (88, 0.6493656), (229, 0.6392909), (146, 0.63051105), (10, 0.6287633), (186, 0.62734944), (507, 0.6063086), (21, 0.59358805), (174, 0.5881861), (184, 0.5763325), (306, 0.56539595), (366, 0.5373897), (239, 0.4838068), (212, 0.46089187), (518, 0.44302508), (878, 0.43251577), (149, 0.4100913), (420, 0.40420434)]","[99, 285, 95, 88, 229, 146, 10, 186, 507, 21, 174, 184, 306, 366, 239, 212, 518, 878, 149, 420]",1,0.33333333333333337
4,"[(116, 0.78503394), (236, 0.7688804), (95, 0.767675), (160, 0.70783037), (264, 0.68988115), (70, 0.66370237), (96, 0.64988875), (267, 0.5876596), (473, 0.58166283), (271, 0.5731071), (478, 0.56371033), (306, 0.5506805), (300, 0.46806413), (239, 0.46606147), (659, 0.4622766), (558, 0.44761166), (80, 0.38817897), (53, 0.3613249), (324, 0.34147885), (749, 0.31931654)]","[116, 236, 95, 160, 264, 70, 96, 267, 473, 271, 478, 306, 300, 239, 659, 558, 80, 53, 324, 749]",0,0.0
5,"[(271, 0.56849945), (581, 0.5622797), (707, 0.49753186), (61, 0.49497706), (719, 0.359424), (314, 0.33437678), (400, 0.32515007), (156, 0.31083262), (678, 0.2889426), (304, 0.28231117), (408, 0.266877), (608, 0.25635913), (158, 0.2533106), (447, 0.2523917), (26, 0.2517475), (759, 0.24555919), (897, 0.23552677), (101, 0.21468371), (138, 0.21173455), (930, 0.20555663)]","[271, 581, 707, 61, 719, 314, 400, 156, 678, 304, 408, 608, 158, 447, 26, 759, 897, 101, 138, 930]",1,1.0
6,"[(256, 0.78772706), (94, 0.67810696), (271, 0.6597474), (321, 0.5874505), (245, 0.5862989), (342, 0.5552222), (734, 0.53294843), (65, 0.5311229), (689, 0.5308922), (878, 0.5269559), (339, 0.49596503), (324, 0.4652935), (1013, 0.4503643), (1011, 0.44245166), (1133, 0.43747598), (735, 0.38350478), (277, 0.3784589), (1038, 0.37379003), (987, 0.3699214), (874, 0.36776417)]","[256, 94, 271, 321, 245, 342, 734, 65, 689, 878, 339, 324, 1013, 1011, 1133, 735, 277, 1038, 987, 874]",0,0.0
7,"[(203, 0.7708797), (236, 0.7520729), (229, 0.60355884), (474, 0.59919834), (473, 0.5588458), (581, 0.5417564), (707, 0.4712344), (321, 0.45570645), (472, 0.44711542), (155, 0.4373305), (743, 0.40489843), (82, 0.38646975), (197, 0.37368757), (428, 0.36560515), (282, 0.3337545), (53, 0.3246426), (326, 0.30170792), (684, 0.2963058), (86, 0.29294226), (548, 0.27533984)]","[203, 236, 229, 474, 473, 581, 707, 321, 472, 155, 743, 82, 197, 428, 282, 53, 326, 684, 86, 548]",1,0.23540891336663824
8,"[(180, 0.88217884), (116, 0.7828611), (221, 0.7753973), (95, 0.7653792), (78, 0.71975625), (356, 0.6816133), (88, 0.6326852), (10, 0.6116888), (596, 0.5991479), (747, 0.5520417), (472, 0.47619703), (446, 0.4559586), (37, 0.44553652), (147, 0.43795624), (409, 0.43682384), (519, 0.43405455), (497, 0.4334662), (595, 0.41211018), (280, 0.38837126), (1015, 0.37658578)]","[180, 116, 221, 95, 78, 356, 88, 10, 596, 747, 472, 446, 37, 147, 409, 519, 497, 595, 280, 1015]",0,0.0
9,"[(95, 0.76043916), (312, 0.6762174), (110, 0.57855624), (513, 0.4910319), (627, 0.4761666), (432, 0.45803216), (297, 0.42463693), (238, 0.41561896), (331, 0.40485305), (85, 0.40440705), (595, 0.40088406), (428, 0.38341156), (149, 0.37206742), (52, 0.3596886), (339, 0.35627127), (675, 0.33536568), (291, 0.33455348), (66, 0.33012584), (624, 0.29835084), (548, 0.29091415)]","[95, 312, 110, 513, 627, 432, 297, 238, 331, 85, 595, 428, 149, 52, 339, 675, 291, 66, 624, 548]",1,0.25
