user_id_hasCF,true_shift_rank,top20_index,top20_with_score
201,25,"[150, 11, 68, 27, 152, 190, 392, 94, 281, 238, 146, 273, 401, 683, 226, 577, 446, 163, 189, 627]","[(150, 0.75971794), (11, 0.75822675), (68, 0.7470556), (27, 0.6628397), (152, 0.6382364), (190, 0.6355175), (392, 0.63511723), (94, 0.6299918), (281, 0.60549414), (238, 0.58497876), (146, 0.5727352), (273, 0.5715727), (401, 0.5380013), (683, 0.5363083), (226, 0.4477808), (577, 0.4167618), (446, 0.41179255), (163, 0.40753534), (189, 0.403173), (627, 0.39776298)]"
202,25,"[55, 233, 8, 526, 581, 339, 689, 514, 755, 98, 483, 481, 52, 577, 258, 280, 92, 698, 635, 346]","[(55, 0.7990075), (233, 0.6694178), (8, 0.6629314), (526, 0.5623266), (581, 0.5390015), (339, 0.49647298), (689, 0.48183453), (514, 0.479791), (755, 0.46498612), (98, 0.45906004), (483, 0.45392653), (481, 0.43166563), (52, 0.42176962), (577, 0.4127671), (258, 0.3989405), (280, 0.3666705), (92, 0.3516106), (698, 0.29451156), (635, 0.28456837), (346, 0.28206438)]"
203,25,"[175, 233, 526, 142, 273, 430, 264, 475, 549, 204, 254, 46, 86, 1015, 508, 71, 23, 30, 745, 168]","[(175, 0.6782317), (233, 0.64675343), (526, 0.5290081), (142, 0.51821315), (273, 0.47397056), (430, 0.47383195), (264, 0.4727031), (475, 0.4719237), (549, 0.46900085), (204, 0.4526772), (254, 0.44911492), (46, 0.42145103), (86, 0.40963343), (1015, 0.39706734), (508, 0.3930976), (71, 0.39239654), (23, 0.38955265), (30, 0.38702983), (745, 0.37993252), (168, 0.3533868)]"
204,25,"[357, 269, 242, 309, 894, 689, 330, 989, 149, 291, 359, 116, 122, 352, 294, 890, 594, 923, 1050, 223]","[(357, 0.7666831), (269, 0.753146), (242, 0.726219), (309, 0.66471606), (894, 0.6411982), (689, 0.6400459), (330, 0.63221145), (989, 0.37275803), (149, 0.31747404), (291, 0.3068439), (359, 0.17918922), (116, 0.16583127), (122, 0.16313805), (352, 0.14504915), (294, 0.12789188), (890, 0.117447026), (594, 0.11226584), (923, 0.101156324), (1050, 0.10020029), (223, 0.088953435)]"
206,25,"[256, 301, 274, 234, 549, 92, 123, 320, 454, 282, 71, 780, 671, 522, 370, 303, 337, 84, 411, 1017]","[(256, 0.8389736), (301, 0.7443827), (274, 0.68739045), (234, 0.6664235), (549, 0.6661471), (92, 0.57175785), (123, 0.54749286), (320, 0.5446907), (454, 0.54303247), (282, 0.52924925), (71, 0.5118161), (780, 0.37854776), (671, 0.34129274), (522, 0.33143565), (370, 0.32879937), (303, 0.32449788), (337, 0.31698152), (84, 0.299712), (411, 0.29488927), (1017, 0.29213563)]"
207,25,"[495, 142, 653, 178, 57, 587, 506, 202, 85, 402, 512, 256, 450, 238, 117, 407, 844, 968, 528, 771]","[(495, 0.8106027), (142, 0.7793208), (653, 0.7193946), (178, 0.7179823), (57, 0.6533301), (587, 0.6415797), (506, 0.63026947), (202, 0.62326187), (85, 0.54110575), (402, 0.51208186), (512, 0.47244763), (256, 0.4626578), (450, 0.4331226), (238, 0.34629413), (117, 0.3160259), (407, 0.3014577), (844, 0.28971127), (968, 0.28260288), (528, 0.27680042), (771, 0.26155004)]"
208,25,"[305, 221, 120, 353, 291, 278, 18, 885, 5, 712, 222, 146, 687, 235, 988, 223, 78, 472, 863, 1047]","[(305, 0.75926936), (221, 0.69581443), (120, 0.6797075), (353, 0.63714755), (291, 0.6295002), (278, 0.6018195), (18, 0.5789375), (885, 0.5671661), (5, 0.40171993), (712, 0.39296758), (222, 0.377597), (146, 0.36026457), (687, 0.347994), (235, 0.3453763), (988, 0.33716232), (223, 0.3198803), (78, 0.31215057), (472, 0.3077572), (863, 0.26408845), (1047, 0.212999)]"
209,25,"[558, 232, 728, 596, 508, 415, 16, 147, 844, 28, 471, 714, 1118, 660, 726, 779, 950, 1040, 636, 59]","[(558, 0.45787445), (232, 0.38331842), (728, 0.36979014), (596, 0.36716017), (508, 0.3497324), (415, 0.31522906), (16, 0.30752394), (147, 0.29908806), (844, 0.29770446), (28, 0.29034087), (471, 0.28779233), (714, 0.2741198), (1118, 0.2297639), (660, 0.195989), (726, 0.18897763), (779, 0.17431338), (950, 0.17024162), (1040, 0.15248682), (636, 0.14850888), (59, 0.14521429)]"
210,25,"[99, 6, 126, 7, 207, 242, 69, 178, 273, 13, 248, 297, 130, 23, 121, 211, 47, 108, 19, 927]","[(99, 0.84243155), (6, 0.8303039), (126, 0.804643), (7, 0.5324663), (207, 0.5249905), (242, 0.50147027), (69, 0.4976511), (178, 0.4705779), (273, 0.43310535), (13, 0.4198879), (248, 0.37892464), (297, 0.37555966), (130, 0.37187883), (23, 0.32357955), (121, 0.31283942), (211, 0.30835783), (47, 0.30537206), (108, 0.2975375), (19, 0.2375464), (927, 0.236504)]"
211,25,"[99, 6, 126, 7, 207, 242, 69, 178, 273, 13, 248, 297, 130, 23, 121, 211, 47, 108, 19, 927]","[(99, 0.84243155), (6, 0.8303039), (126, 0.804643), (7, 0.5324663), (207, 0.5249905), (242, 0.50147027), (69, 0.4976511), (178, 0.4705779), (273, 0.43310535), (13, 0.4198879), (248, 0.37892464), (297, 0.37555966), (130, 0.37187883), (23, 0.32357955), (121, 0.31283942), (211, 0.30835783), (47, 0.30537206), (108, 0.2975375), (19, 0.2375464), (927, 0.236504)]"
212,25,"[175, 98, 87, 526, 410, 218, 297, 162, 64, 2, 284, 449, 259, 368, 460, 649, 415, 825, 424, 594]","[(175, 0.8788508), (98, 0.75573856), (87, 0.6450712), (526, 0.5559928), (410, 0.5211419), (218, 0.45505536), (297, 0.42720845), (162, 0.37794313), (64, 0.32564116), (2, 0.27683038), (284, 0.2384307), (449, 0.2375868), (259, 0.21511996), (368, 0.1689729), (460, 0.1649622), (649, 0.16257134), (415, 0.16221194), (825, 0.1572987), (424, 0.15060563), (594, 0.14126356)]"
213,25,"[221, 191, 272, 509, 346, 320, 749, 646, 655, 58, 291, 590, 944, 1100, 366, 1006, 518, 920, 420, 1148]","[(221, 0.76228356), (191, 0.73707944), (272, 0.6716497), (509, 0.6472298), (346, 0.57084745), (320, 0.5481815), (749, 0.544052), (646, 0.52979416), (655, 0.5207187), (58, 0.5064723), (291, 0.4453039), (590, 0.4190108), (944, 0.4063711), (1100, 0.351761), (366, 0.34723073), (1006, 0.31689778), (518, 0.31502977), (920, 0.311074), (420, 0.3056132), (1148, 0.30557388)]"
214,25,"[120, 192, 734, 565, 90, 183, 590, 596, 377, 632, 446, 518, 332, 290, 475, 100, 222, 25, 1015, 242]","[(120, 0.8744846), (192, 0.8232867), (734, 0.7699162), (565, 0.70656544), (90, 0.5883232), (183, 0.54297227), (590, 0.5125719), (596, 0.4606948), (377, 0.4302853), (632, 0.40093073), (446, 0.39322856), (518, 0.38796273), (332, 0.3759245), (290, 0.3529127), (475, 0.3500317), (100, 0.33240363), (222, 0.32615286), (25, 0.31419876), (1015, 0.31084892), (242, 0.30752432)]"
215,25,"[120, 192, 734, 565, 90, 183, 590, 596, 377, 632, 446, 518, 332, 290, 475, 100, 222, 25, 1015, 242]","[(120, 0.8744846), (192, 0.8232867), (734, 0.7699162), (565, 0.70656544), (90, 0.5883232), (183, 0.54297227), (590, 0.5125719), (596, 0.4606948), (377, 0.4302853), (632, 0.40093073), (446, 0.39322856), (518, 0.38796273), (332, 0.3759245), (290, 0.3529127), (475, 0.3500317), (100, 0.33240363), (222, 0.32615286), (25, 0.31419876), (1015, 0.31084892), (242, 0.30752432)]"
217,25,"[184, 233, 63, 81, 10, 178, 402, 470, 202, 407, 509, 596, 327, 332, 508, 918, 58, 162, 151, 1015]","[(184, 0.7814136), (233, 0.7733743), (63, 0.76782036), (81, 0.7069624), (10, 0.7007049), (178, 0.67781115), (402, 0.65115726), (470, 0.60268193), (202, 0.5783251), (407, 0.49072602), (509, 0.48560676), (596, 0.48019472), (327, 0.44137615), (332, 0.43693927), (508, 0.40456015), (918, 0.36899084), (58, 0.33587942), (162, 0.32739905), (151, 0.29581523), (1015, 0.2957572)]"
219,25,"[748, 297, 242, 680, 545, 1312, 865, 124, 276, 887, 908, 863, 1016, 1280, 1083, 870, 1174, 532, 716, 508]","[(748, 0.6417354), (297, 0.43220612), (242, 0.40602106), (680, 0.3667382), (545, 0.23326327), (1312, 0.22879437), (865, 0.16348621), (124, 0.15914111), (276, 0.117517084), (887, 0.10198193), (908, 0.1006995), (863, 0.06903046), (1016, 0.06451213), (1280, 0.05525647), (1083, 0.048970755), (870, 0.037606116), (1174, 0.035468936), (532, 0.03440794), (716, 0.029817397), (508, 0.025504688)]"
220,25,"[293, 87, 678, 208, 176, 659, 268, 184, 677, 282, 410, 380, 13, 248, 213, 325, 377, 583, 166, 339]","[(293, 0.83727735), (87, 0.8155052), (678, 0.64905703), (208, 0.60876507), (176, 0.6035895), (659, 0.58952504), (268, 0.58673275), (184, 0.56068754), (677, 0.5014885), (282, 0.49644887), (410, 0.46997693), (380, 0.41796893), (13, 0.4074571), (248, 0.402049), (213, 0.38738307), (325, 0.3340085), (377, 0.323481), (583, 0.3157216), (166, 0.31189352), (339, 0.3055922)]"
222,25,"[272, 290, 23, 357, 268, 695, 182, 194, 222, 876, 335, 202, 311, 11, 731, 304, 423, 679, 384, 367]","[(272, 0.8538825), (290, 0.8391081), (23, 0.7976069), (357, 0.7453207), (268, 0.7143731), (695, 0.68765634), (182, 0.5210317), (194, 0.50495523), (222, 0.50167644), (876, 0.46404684), (335, 0.45636344), (202, 0.44838107), (311, 0.42603514), (11, 0.4075184), (731, 0.3037067), (304, 0.26342344), (423, 0.26158932), (679, 0.2608573), (384, 0.24636419), (367, 0.22457944)]"
223,25,"[117, 271, 267, 194, 741, 303, 291, 254, 13, 269, 482, 410, 81, 71, 245, 16, 814, 602, 232, 193]","[(117, 0.7274026), (271, 0.665769), (267, 0.6632441), (194, 0.662175), (741, 0.6442093), (303, 0.64379245), (291, 0.55757064), (254, 0.5540489), (13, 0.53785646), (269, 0.529136), (482, 0.5115643), (410, 0.49092776), (81, 0.4813641), (71, 0.42821506), (245, 0.42748168), (16, 0.4192003), (814, 0.41434282), (602, 0.40763503), (232, 0.4040922), (193, 0.34418568)]"
224,25,"[282, 257, 85, 221, 507, 143, 293, 706, 528, 689, 663, 3, 567, 1038, 386, 970, 159, 249, 297, 677]","[(282, 0.7862895), (257, 0.7707882), (85, 0.59700143), (221, 0.482864), (507, 0.46357816), (143, 0.44078586), (293, 0.42689475), (706, 0.36710218), (528, 0.3268253), (689, 0.31988543), (663, 0.2839227), (3, 0.27377376), (567, 0.27128008), (1038, 0.23312262), (386, 0.22590382), (970, 0.21694674), (159, 0.2140478), (249, 0.2124088), (297, 0.20741455), (677, 0.19183421)]"
225,25,"[282, 257, 85, 221, 507, 143, 293, 706, 528, 689, 663, 3, 567, 1038, 386, 970, 159, 249, 297, 677]","[(282, 0.7862895), (257, 0.7707882), (85, 0.59700143), (221, 0.482864), (507, 0.46357816), (143, 0.44078586), (293, 0.42689475), (706, 0.36710218), (528, 0.3268253), (689, 0.31988543), (663, 0.2839227), (3, 0.27377376), (567, 0.27128008), (1038, 0.23312262), (386, 0.22590382), (970, 0.21694674), (159, 0.2140478), (249, 0.2124088), (297, 0.20741455), (677, 0.19183421)]"
227,25,"[282, 257, 85, 221, 507, 143, 293, 706, 528, 689, 663, 3, 567, 1038, 386, 970, 159, 249, 297, 677]","[(282, 0.7862895), (257, 0.7707882), (85, 0.59700143), (221, 0.482864), (507, 0.46357816), (143, 0.44078586), (293, 0.42689475), (706, 0.36710218), (528, 0.3268253), (689, 0.31988543), (663, 0.2839227), (3, 0.27377376), (567, 0.27128008), (1038, 0.23312262), (386, 0.22590382), (970, 0.21694674), (159, 0.2140478), (249, 0.2124088), (297, 0.20741455), (677, 0.19183421)]"
230,25,"[124, 844, 454, 472, 323, 878, 929, 342, 78, 119, 279, 233, 976, 337, 845, 695, 235, 175, 1051, 682]","[(124, 0.7720459), (844, 0.68437874), (454, 0.5965789), (472, 0.54239875), (323, 0.41800433), (878, 0.41008618), (929, 0.37797713), (342, 0.37498587), (78, 0.3527688), (119, 0.30442274), (279, 0.30156487), (233, 0.2716062), (976, 0.26206818), (337, 0.25234234), (845, 0.24851722), (695, 0.24835584), (235, 0.24756853), (175, 0.20299332), (1051, 0.1468365), (682, 0.14027965)]"
232,25,"[209, 182, 152, 0, 268, 155, 58, 484, 658, 565, 113, 149, 86, 462, 712, 29, 521, 749, 25, 325]","[(209, 0.8354615), (182, 0.8012792), (152, 0.78887314), (0, 0.75418884), (268, 0.632969), (155, 0.60752034), (58, 0.54355943), (484, 0.53464377), (658, 0.48710564), (565, 0.47619125), (113, 0.45562378), (149, 0.42936522), (86, 0.41491446), (462, 0.39159545), (712, 0.38233384), (29, 0.37573418), (521, 0.3715021), (749, 0.30734402), (25, 0.23241946), (325, 0.23164716)]"
234,25,"[503, 185, 31, 222, 150, 51, 321, 297, 250, 961, 743, 954, 370, 548, 879, 632, 54, 226, 1016, 681]","[(503, 0.67936695), (185, 0.57977927), (31, 0.5600092), (222, 0.53943217), (150, 0.53392017), (51, 0.53014326), (321, 0.4726901), (297, 0.38138455), (250, 0.2636248), (961, 0.2621309), (743, 0.24729213), (954, 0.22999604), (370, 0.22076611), (548, 0.21793818), (879, 0.21573478), (632, 0.19726002), (54, 0.19626977), (226, 0.1693261), (1016, 0.1669129), (681, 0.1629106)]"
235,25,"[0, 172, 201, 507, 587, 10, 94, 428, 179, 479, 122, 251, 596, 80, 163, 1027, 226, 662, 160, 824]","[(0, 0.93623704), (172, 0.857326), (201, 0.826838), (507, 0.7262829), (587, 0.70342773), (10, 0.6815393), (94, 0.6356335), (428, 0.62490284), (179, 0.6027959), (479, 0.5508779), (122, 0.52556735), (251, 0.48535356), (596, 0.46019986), (80, 0.44931862), (163, 0.44679284), (1027, 0.43824807), (226, 0.40799448), (662, 0.40675336), (160, 0.39633584), (824, 0.3619477)]"
236,25,"[190, 193, 203, 274, 275, 651, 492, 214, 257, 41, 80, 735, 293, 188, 661, 1005, 468, 24, 159, 303]","[(190, 0.95932573), (193, 0.9477395), (203, 0.83765334), (274, 0.6874302), (275, 0.5757854), (651, 0.54007185), (492, 0.5154003), (214, 0.50557286), (257, 0.4215404), (41, 0.41705918), (80, 0.4149781), (735, 0.3929309), (293, 0.37684312), (188, 0.33169767), (661, 0.3166939), (1005, 0.31424823), (468, 0.29076096), (24, 0.28262636), (159, 0.28019208), (303, 0.25923774)]"
