user_id,age,sex,occupation,zip_code,train_id
1,24,M,technician,85711,0
2,53,F,other,94043,1
3,23,M,writer,32067,2
4,24,M,technician,43537,3
5,33,F,other,15213,4
6,42,M,executive,98101,5
7,57,M,administrator,91344,6
8,36,M,administrator,05201,7
9,29,M,student,01002,8
10,53,M,lawyer,90703,9
11,39,F,other,30329,10
12,28,F,other,06405,11
13,47,M,educator,29206,12
14,45,M,scientist,55106,13
15,49,F,educator,97301,14
16,21,M,entertainment,10309,15
17,30,M,programmer,06355,16
18,35,F,other,37212,17
19,40,M,librarian,02138,18
20,42,F,homemaker,95660,19
21,26,M,writer,30068,20
22,25,M,writer,40206,21
23,30,F,artist,48197,22
24,21,F,artist,94533,23
25,39,M,engineer,55107,24
26,49,M,engineer,21044,25
27,40,F,librarian,30030,26
28,32,M,writer,55369,27
29,41,M,programmer,94043,28
30,7,M,student,55436,29
31,24,M,artist,10003,30
32,28,F,student,78741,31
33,23,M,student,27510,32
34,38,F,administrator,42141,33
35,20,F,homemaker,42459,34
36,19,F,student,93117,35
37,23,M,student,55105,36
38,28,F,other,54467,37
39,41,M,entertainment,01040,38
40,38,M,scientist,27514,39
41,33,M,engineer,80525,40
42,30,M,administrator,17870,41
43,29,F,librarian,20854,42
44,26,M,technician,46260,43
45,29,M,programmer,50233,44
46,27,F,marketing,46538,45
47,53,M,marketing,07102,46
48,45,M,administrator,12550,47
49,23,F,student,76111,48
50,21,M,writer,52245,49
51,28,M,educator,16509,50
52,18,F,student,55105,51
53,26,M,programmer,55414,52
54,22,M,executive,66315,53
55,37,M,programmer,01331,54
56,25,M,librarian,46260,55
57,16,M,none,84010,56
58,27,M,programmer,52246,57
59,49,M,educator,08403,58
60,50,M,healthcare,06472,59
61,36,M,engineer,30040,60
62,27,F,administrator,97214,61
63,31,M,marketing,75240,62
64,32,M,educator,43202,63
65,51,F,educator,48118,64
66,23,M,student,80521,65
67,17,M,student,60402,66
68,19,M,student,22904,67
69,24,M,engineer,55337,68
70,27,M,engineer,60067,69
71,39,M,scientist,98034,70
72,48,F,administrator,73034,71
73,24,M,student,41850,72
74,39,M,scientist,T8H1N,73
75,24,M,entertainment,08816,74
76,20,M,student,02215,75
77,30,M,technician,29379,76
78,26,M,administrator,61801,77
79,39,F,administrator,03755,78
80,34,F,administrator,52241,79
81,21,M,student,21218,80
82,50,M,programmer,22902,81
83,40,M,other,44133,82
84,32,M,executive,55369,83
85,51,M,educator,20003,84
86,26,M,administrator,46005,85
87,47,M,administrator,89503,86
88,49,F,librarian,11701,87
89,43,F,administrator,68106,88
90,60,M,educator,78155,89
91,55,M,marketing,01913,90
92,32,M,entertainment,80525,91
93,48,M,executive,23112,92
94,26,M,student,71457,93
95,31,M,administrator,10707,94
96,25,F,artist,75206,95
97,43,M,artist,98006,96
98,49,F,executive,90291,97
99,20,M,student,63129,98
100,36,M,executive,90254,99
101,15,M,student,05146,100
102,38,M,programmer,30220,101
103,26,M,student,55108,102
104,27,M,student,55108,103
105,24,M,engineer,94043,104
106,61,M,retired,55125,105
107,39,M,scientist,60466,106
108,44,M,educator,63130,107
109,29,M,other,55423,108
110,19,M,student,77840,109
111,57,M,engineer,90630,110
112,30,M,salesman,60613,111
113,47,M,executive,95032,112
114,27,M,programmer,75013,113
115,31,M,engineer,17110,114
116,40,M,healthcare,97232,115
117,20,M,student,16125,116
118,21,M,administrator,90210,117
119,32,M,programmer,67401,118
120,47,F,other,06260,119
121,54,M,librarian,99603,120
122,32,F,writer,22206,121
123,48,F,artist,20008,122
124,34,M,student,60615,123
125,30,M,lawyer,22202,124
126,28,F,lawyer,20015,125
127,33,M,none,73439,126
128,24,F,marketing,20009,127
129,36,F,marketing,07039,128
130,20,M,none,60115,129
131,59,F,administrator,15237,130
132,24,M,other,94612,131
133,53,M,engineer,78602,132
134,31,M,programmer,80236,133
135,23,M,student,38401,134
136,51,M,other,97365,135
137,50,M,educator,84408,136
138,46,M,doctor,53211,137
